molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL406178,COc1ccc(CCNC(=O)CN(CC(=O)N[C@H]2C[C@@H]2c2ccccc2)C(=O)Cn2c(C(=O)N[C@H]3CCCC[C@@H]3NC(=O)c3cc4ccccc4n3CC(=O)N(CC(=O)NCCc3ccc(OC)cc3)CC(=O)N[C@@H]3C[C@H]3c3ccccc3)cc3ccccc32)cc1,intermediate,1243.4759999999994,6.803800000000013,6.0,12.0,5.119186407719209
CHEMBL261728,O=C(NCc1ccccc1)[C@@H]1CN(C(=O)c2ccc(-c3ccc(C(=O)N4C[C@H](C(=O)NCc5ccccc5)[C@@H](C(=O)NC5C[C@@H]5c5ccccc5)C4)cc3)cc2)C[C@H]1C(=O)NC1C[C@H]1c1ccccc1,inactive,933.122,6.707400000000007,4.0,6.0,4.0400051616715835
CHEMBL438558,O=C(NCCc1ccccc1)[C@@H]1CN(C(=O)c2ccc(-c3ccc(C(=O)N4C[C@H](C(=O)NCCc5ccccc5)[C@@H](C(=O)NC(c5ccccc5)c5ccccc5)C4)cc3)cc2)C[C@H]1C(=O)NC(c1ccccc1)c1ccccc1,inactive,1061.2960000000003,9.259400000000001,4.0,6.0,4.266000713461613
CHEMBL259400,COC(=O)c1cc2c3c(ccc2[nH]1)N(C(=O)c1nc2ccc(NC(=O)c4cc(NC(=O)OC(C)(C)C)cs4)cc2o1)CC3,inactive,601.6410000000001,5.959400000000004,3.0,9.0,4.335358024443875
CHEMBL405801,COc1cccc(CCNC(=O)CN(CC(=O)NC2CCCc3ccccc32)C(=O)Cn2c(C(=O)N[C@H]3CCCC[C@@H]3NC(=O)c3cc4ccccc4n3CC(=O)N(CC(=O)NCCc3cccc(OC)c3)CC(=O)NC3CCCc4ccccc43)cc3ccccc32)c1,inactive,1271.5299999999995,7.846800000000014,6.0,12.0,4.718966632752273
CHEMBL442459,O=C(CN(CC(=O)NCc1cc(F)cc(C(F)(F)F)c1)C(=O)Cn1c(C(=O)N[C@H]2CCCC[C@@H]2NC(=O)c2cc3ccccc3n2CC(=O)N(CC(=O)NCCc2ccc(O)cc2)CC(=O)NCc2cc(F)cc(C(F)(F)F)c2)cc2ccccc21)NCCc1ccc(O)cc1,inactive,1335.32,7.80180000000001,8.0,12.0,4.844663962534939
CHEMBL261424,CCC1CN(C(=O)/C=C/c2ccccc2)CC(=O)N1Cc1ccc(C)cc1,inactive,362.4730000000001,3.6578200000000027,0.0,2.0,4.903089986991944
CHEMBL483873,O=C(CCS)Nc1cc(-c2ccc(Cl)cc2)n[nH]1,inactive,281.768,2.9885,3.0,3.0,3.709965388637482
CHEMBL483874,O=C(CS)Nc1cc(-c2ccc(Cl)cc2)n[nH]1,intermediate,267.741,2.5984,3.0,3.0,5.318758762624412
CHEMBL473374,O=C(CS)Nc1cc(-c2ccccc2)n[nH]1,inactive,233.29600000000002,1.9449999999999994,3.0,3.0,4.838631997765025
