activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,2146977,[],CHEMBL925835,Inhibition of Clostridium botulinum recombinant BoNT/A light chain toxin expressed in Escherichia coli by FRET assay,B,,,BAO_0000190,BAO_0000019,assay format,COc1ccc(CCNC(=O)CN(CC(=O)N[C@H]2C[C@@H]2c2ccccc2)C(=O)Cn2c(C(=O)N[C@H]3CCCC[C@@H]3NC(=O)c3cc4ccccc4n3CC(=O)N(CC(=O)NCCc3ccc(OC)cc3)CC(=O)N[C@@H]3C[C@H]3c3ccccc3)cc3ccccc32)cc1,,,CHEMBL1147064,Proc. Natl. Acad. Sci. U.S.A.,2007,"{'bei': '4.12', 'le': None, 'lle': None, 'sei': None}",CHEMBL406178,,CHEMBL406178,5.12,False,http://www.openphacts.org/units/Nanomolar,708630,=,1,True,=,,IC50,nM,,7600.0,CHEMBL5192,Clostridium botulinum,Botulinum neurotoxin type A,1491,,,IC50,uM,UO_0000065,,7.6
,2146978,[],CHEMBL925835,Inhibition of Clostridium botulinum recombinant BoNT/A light chain toxin expressed in Escherichia coli by FRET assay,B,,,BAO_0000190,BAO_0000019,assay format,O=C(NCc1ccccc1)[C@@H]1CN(C(=O)c2ccc(-c3ccc(C(=O)N4C[C@H](C(=O)NCc5ccccc5)[C@@H](C(=O)NC5C[C@@H]5c5ccccc5)C4)cc3)cc2)C[C@H]1C(=O)NC1C[C@H]1c1ccccc1,,,CHEMBL1147064,Proc. Natl. Acad. Sci. U.S.A.,2007,"{'bei': '4.33', 'le': '0.08', 'lle': '-2.67', 'sei': '2.57'}",CHEMBL261728,,CHEMBL261728,4.04,False,http://www.openphacts.org/units/Nanomolar,708633,=,1,True,=,,IC50,nM,,91200.0,CHEMBL5192,Clostridium botulinum,Botulinum neurotoxin type A,1491,,,IC50,uM,UO_0000065,,91.2
,2146979,[],CHEMBL925835,Inhibition of Clostridium botulinum recombinant BoNT/A light chain toxin expressed in Escherichia coli by FRET assay,B,,,BAO_0000190,BAO_0000019,assay format,O=C(NCCc1ccccc1)[C@@H]1CN(C(=O)c2ccc(-c3ccc(C(=O)N4C[C@H](C(=O)NCCc5ccccc5)[C@@H](C(=O)NC(c5ccccc5)c5ccccc5)C4)cc3)cc2)C[C@H]1C(=O)NC(c1ccccc1)c1ccccc1,,,CHEMBL1147064,Proc. Natl. Acad. Sci. U.S.A.,2007,"{'bei': '4.02', 'le': None, 'lle': None, 'sei': None}",CHEMBL438558,,CHEMBL438558,4.27,False,http://www.openphacts.org/units/Nanomolar,708632,=,1,True,=,,IC50,nM,,54200.0,CHEMBL5192,Clostridium botulinum,Botulinum neurotoxin type A,1491,,,IC50,uM,UO_0000065,,54.2
,2146980,[],CHEMBL925835,Inhibition of Clostridium botulinum recombinant BoNT/A light chain toxin expressed in Escherichia coli by FRET assay,B,,,BAO_0000190,BAO_0000019,assay format,COC(=O)c1cc2c3c(ccc2[nH]1)N(C(=O)c1nc2ccc(NC(=O)c4cc(NC(=O)OC(C)(C)C)cs4)cc2o1)CC3,,,CHEMBL1147064,Proc. Natl. Acad. Sci. U.S.A.,2007,"{'bei': '7.21', 'le': '0.14', 'lle': '-1.62', 'sei': '2.78'}",CHEMBL259400,,CHEMBL259400,4.33,False,http://www.openphacts.org/units/Nanomolar,708631,=,1,True,=,,IC50,nM,,46200.0,CHEMBL5192,Clostridium botulinum,Botulinum neurotoxin type A,1491,,,IC50,uM,UO_0000065,,46.2
,2146981,[],CHEMBL925835,Inhibition of Clostridium botulinum recombinant BoNT/A light chain toxin expressed in Escherichia coli by FRET assay,B,,,BAO_0000190,BAO_0000019,assay format,COc1cccc(CCNC(=O)CN(CC(=O)NC2CCCc3ccccc32)C(=O)Cn2c(C(=O)N[C@H]3CCCC[C@@H]3NC(=O)c3cc4ccccc4n3CC(=O)N(CC(=O)NCCc3cccc(OC)c3)CC(=O)NC3CCCc4ccccc43)cc3ccccc32)c1,,,CHEMBL1147064,Proc. Natl. Acad. Sci. U.S.A.,2007,"{'bei': '3.71', 'le': None, 'lle': None, 'sei': None}",CHEMBL405801,,CHEMBL405801,4.72,False,http://www.openphacts.org/units/Nanomolar,708629,=,1,True,=,,IC50,nM,,19100.0,CHEMBL5192,Clostridium botulinum,Botulinum neurotoxin type A,1491,,,IC50,uM,UO_0000065,,19.1
,2146982,[],CHEMBL925835,Inhibition of Clostridium botulinum recombinant BoNT/A light chain toxin expressed in Escherichia coli by FRET assay,B,,,BAO_0000190,BAO_0000019,assay format,O=C(CN(CC(=O)NCc1cc(F)cc(C(F)(F)F)c1)C(=O)Cn1c(C(=O)N[C@H]2CCCC[C@@H]2NC(=O)c2cc3ccccc3n2CC(=O)N(CC(=O)NCCc2ccc(O)cc2)CC(=O)NCc2cc(F)cc(C(F)(F)F)c2)cc2ccccc21)NCCc1ccc(O)cc1,,,CHEMBL1147064,Proc. Natl. Acad. Sci. U.S.A.,2007,"{'bei': '3.63', 'le': None, 'lle': None, 'sei': None}",CHEMBL442459,,CHEMBL442459,4.84,False,http://www.openphacts.org/units/Nanomolar,708628,=,1,True,=,,IC50,nM,,14300.0,CHEMBL5192,Clostridium botulinum,Botulinum neurotoxin type A,1491,,,IC50,uM,UO_0000065,,14.3
,2146983,[],CHEMBL925835,Inhibition of Clostridium botulinum recombinant BoNT/A light chain toxin expressed in Escherichia coli by FRET assay,B,,,BAO_0000190,BAO_0000019,assay format,CCC1CN(C(=O)/C=C/c2ccccc2)CC(=O)N1Cc1ccc(C)cc1,,,CHEMBL1147064,Proc. Natl. Acad. Sci. U.S.A.,2007,"{'bei': '13.53', 'le': '0.25', 'lle': '1.24', 'sei': '12.07'}",CHEMBL261424,,CHEMBL261424,4.90,False,http://www.openphacts.org/units/Nanomolar,708626,=,1,True,=,,IC50,nM,,12500.0,CHEMBL5192,Clostridium botulinum,Botulinum neurotoxin type A,1491,,,IC50,uM,UO_0000065,,12.5
,2421218,[],CHEMBL961806,Inhibition of Clostridium botulinum recombinant Bont/A light chain expressed in Escherichia coli BL21 GOLD,B,,,BAO_0000190,BAO_0000019,assay format,O=C(CCS)Nc1cc(-c2ccc(Cl)cc2)n[nH]1,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1153454,Bioorg. Med. Chem.,2009,,CHEMBL483873,,CHEMBL483873,,False,http://www.openphacts.org/units/Nanomolar,782699,=,1,True,=,,IC50,nM,,195000.0,CHEMBL5192,Clostridium botulinum,Botulinum neurotoxin type A,1491,,,IC50,uM,UO_0000065,,195.0
,2421219,[],CHEMBL961806,Inhibition of Clostridium botulinum recombinant Bont/A light chain expressed in Escherichia coli BL21 GOLD,B,,,BAO_0000190,BAO_0000019,assay format,O=C(CS)Nc1cc(-c2ccc(Cl)cc2)n[nH]1,,,CHEMBL1153454,Bioorg. Med. Chem.,2009,"{'bei': '19.87', 'le': '0.43', 'lle': '2.72', 'sei': '9.21'}",CHEMBL483874,,CHEMBL483874,5.32,False,http://www.openphacts.org/units/Nanomolar,782700,=,1,True,=,,IC50,nM,,4800.0,CHEMBL5192,Clostridium botulinum,Botulinum neurotoxin type A,1491,,,IC50,uM,UO_0000065,,4.8
,2421220,[],CHEMBL961806,Inhibition of Clostridium botulinum recombinant Bont/A light chain expressed in Escherichia coli BL21 GOLD,B,,,BAO_0000190,BAO_0000019,assay format,O=C(CS)Nc1cc(-c2ccccc2)n[nH]1,,,CHEMBL1153454,Bioorg. Med. Chem.,2009,"{'bei': '20.74', 'le': '0.41', 'lle': '2.89', 'sei': '8.37'}",CHEMBL473374,,CHEMBL473374,4.84,False,http://www.openphacts.org/units/Nanomolar,782772,=,1,True,=,,IC50,nM,,14500.0,CHEMBL5192,Clostridium botulinum,Botulinum neurotoxin type A,1491,,,IC50,uM,UO_0000065,,14.5
