molecule_chembl_id,canonical_smiles,bioactivity_class,standard_value
CHEMBL406178,COc1ccc(CCNC(=O)CN(CC(=O)N[C@H]2C[C@@H]2c2ccccc2)C(=O)Cn2c(C(=O)N[C@H]3CCCC[C@@H]3NC(=O)c3cc4ccccc4n3CC(=O)N(CC(=O)NCCc3ccc(OC)cc3)CC(=O)N[C@@H]3C[C@H]3c3ccccc3)cc3ccccc32)cc1,intermediate,7600.0
CHEMBL261728,O=C(NCc1ccccc1)[C@@H]1CN(C(=O)c2ccc(-c3ccc(C(=O)N4C[C@H](C(=O)NCc5ccccc5)[C@@H](C(=O)NC5C[C@@H]5c5ccccc5)C4)cc3)cc2)C[C@H]1C(=O)NC1C[C@H]1c1ccccc1,inactive,91200.0
CHEMBL438558,O=C(NCCc1ccccc1)[C@@H]1CN(C(=O)c2ccc(-c3ccc(C(=O)N4C[C@H](C(=O)NCCc5ccccc5)[C@@H](C(=O)NC(c5ccccc5)c5ccccc5)C4)cc3)cc2)C[C@H]1C(=O)NC(c1ccccc1)c1ccccc1,inactive,54200.0
CHEMBL259400,COC(=O)c1cc2c3c(ccc2[nH]1)N(C(=O)c1nc2ccc(NC(=O)c4cc(NC(=O)OC(C)(C)C)cs4)cc2o1)CC3,inactive,46200.0
CHEMBL405801,COc1cccc(CCNC(=O)CN(CC(=O)NC2CCCc3ccccc32)C(=O)Cn2c(C(=O)N[C@H]3CCCC[C@@H]3NC(=O)c3cc4ccccc4n3CC(=O)N(CC(=O)NCCc3cccc(OC)c3)CC(=O)NC3CCCc4ccccc43)cc3ccccc32)c1,inactive,19100.0
CHEMBL442459,O=C(CN(CC(=O)NCc1cc(F)cc(C(F)(F)F)c1)C(=O)Cn1c(C(=O)N[C@H]2CCCC[C@@H]2NC(=O)c2cc3ccccc3n2CC(=O)N(CC(=O)NCCc2ccc(O)cc2)CC(=O)NCc2cc(F)cc(C(F)(F)F)c2)cc2ccccc21)NCCc1ccc(O)cc1,inactive,14300.0
CHEMBL261424,CCC1CN(C(=O)/C=C/c2ccccc2)CC(=O)N1Cc1ccc(C)cc1,inactive,12500.0
CHEMBL483873,O=C(CCS)Nc1cc(-c2ccc(Cl)cc2)n[nH]1,inactive,195000.0
CHEMBL483874,O=C(CS)Nc1cc(-c2ccc(Cl)cc2)n[nH]1,intermediate,4800.0
CHEMBL473374,O=C(CS)Nc1cc(-c2ccccc2)n[nH]1,inactive,14500.0
CHEMBL452427,O=C(CS)Nc1cc(-c2ccc(F)cc2)n[nH]1,inactive,13500.0
CHEMBL452164,O=C(CS)Nc1cc(-c2ccc(Br)cc2)n[nH]1,intermediate,6600.0
CHEMBL499291,O=C(CS)Nc1cc(-c2ccc(C(F)(F)F)cc2)n[nH]1,inactive,10000.0
CHEMBL449909,O=C(CS)Nc1cc(-c2ccc([N+](=O)[O-])cc2)n[nH]1,intermediate,2900.0
CHEMBL491851,Cc1ccc(-c2cc(NC(=O)CS)[nH]n2)cc1,inactive,21000.0
CHEMBL491852,COc1ccc(-c2cc(NC(=O)CS)[nH]n2)cc1,inactive,74500.0
